image_id,case_type,notes
0001_b1214a5d.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0002_1fa874fa.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0003_86013330.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0004_19f4037c.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0005_377530b0.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0006_4fb4afcf.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0007_513b6d1e.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0008_ed8baefa.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0009_d344df0f.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0010_47f223ba.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0011_b22f0216.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0012_587a071f.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0013_a820ccc2.jpg,structural_clutter,S01；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；广角底盘结构，孔洞和支架密集；答辩前建议人工复核
0021_ed9e0f90.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0022_5f4c48a3.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0023_2de837b8.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0024_ecb7fc34.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0025_244dec03.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0026_4654d42d.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0027_112bd474.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0028_e6555d87.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0029_a124378e.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0030_ee4f7f4b.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
0031_7f398c2e.jpg,reflection,S02；AI单人基于无预测框联系表初标；非严格盲法，标注者此前参与过少量模型案例审计；金属区域存在明显局部高亮，同时伴随孔洞干扰；答辩前建议人工复核
